date,setup_amount,return_rate,tab_type,collection_time
2025.05.15,,0.51,SRI,2025-06-14 02:25:58
2025.05.16,,0.33,SRI,2025-06-14 02:25:58
2025.05.20,,0.31,SRI,2025-06-14 02:25:58
2025.05.22,,55.0,SRI,2025-06-14 02:25:58
2025.05.23,,0.24,SRI,2025-06-14 02:25:58
2025.05.27,,0.58,SRI,2025-06-14 02:25:58
2025.05.29,,0.93,SRI,2025-06-14 02:25:58
2025.05.30,,1.25,SRI,2025-06-14 02:25:58
2025.06.04,,1.16,SRI,2025-06-14 02:25:58
2025.06.09,,,SRI,2025-06-14 02:25:58
2025.06.10,,2.33,SRI,2025-06-14 02:25:58
2025.06.12,,2.79,SRI,2025-06-14 02:25:58
