date,setup_amount,return_rate,tab_type,method,collection_time
2025.09.02,89313.93275607,0.0,SRI,JavaScript,2025-10-03 01:08:27
2025.09.03,90271.25911641,0.1193,SRI,JavaScript,2025-10-03 01:08:27
2025.09.04,90625.57101757,0.1055,SRI,JavaScript,2025-10-03 01:08:27
2025.09.05,90409.62727339,0.2279,SRI,JavaScript,2025-10-03 01:08:27
2025.09.08,90547.98004623,0.3372,SRI,JavaScript,2025-10-03 01:08:27
2025.09.09,90702.81318894,0.474,SRI,JavaScript,2025-10-03 01:08:27
2025.09.10,90971.54409669,0.7039,SRI,JavaScript,2025-10-03 01:08:27
2025.09.11,91252.14766207,0.9763,SRI,JavaScript,2025-10-03 01:08:27
2025.09.12,91871.49663702,1.1973,SRI,JavaScript,2025-10-03 01:08:27
2025.09.15,91919.01504963,1.4519,SRI,JavaScript,2025-10-03 01:08:27
2025.09.16,91961.19964281,1.5045,SRI,JavaScript,2025-10-03 01:08:27
2025.09.17,92045.20011053,1.7407,SRI,JavaScript,2025-10-03 01:08:27
2025.09.18,92141.00663257,1.5857,SRI,JavaScript,2025-10-03 01:08:27
2025.09.19,92203.17609216,1.8185,SRI,JavaScript,2025-10-03 01:08:27
2025.09.22,92138.42952459,1.7962,SRI,JavaScript,2025-10-03 01:08:27
2025.09.23,92441.43253313,1.9211,SRI,JavaScript,2025-10-03 01:08:27
2025.09.24,92476.51650334,2.0105,SRI,JavaScript,2025-10-03 01:08:27
2025.09.25,92556.16637752,1.9139,SRI,JavaScript,2025-10-03 01:08:27
2025.09.26,92841.82328099,1.7897,SRI,JavaScript,2025-10-03 01:08:27
2025.09.29,93220.57917297,1.3957,SRI,JavaScript,2025-10-03 01:08:27
2025.09.30,93316.12806678,1.6322,SRI,JavaScript,2025-10-03 01:08:27
2025.10.01,92252.63223019,1.6571,SRI,JavaScript,2025-10-03 01:08:27
2025.10.02,91999.57227281,1.8102,SRI,JavaScript,2025-10-03 01:08:27
2025.09.02,,,SRI,OCR,2025-10-03 01:08:27
2025.09.10,,,SRI,OCR,2025-10-03 01:08:27
2025.09.18,,,SRI,OCR,2025-10-03 01:08:27
2025.09.26,,,SRI,OCR,2025-10-03 01:08:27
2025.09.02,11447.56373479,0.0,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.03,11443.8346105,0.6986,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.04,11457.43770984,0.8382,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.05,11445.76114428,1.3172,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.08,11431.08240994,1.6482,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.09,11410.71798691,2.1667,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.10,11384.30605967,3.1447,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.11,11340.15111865,4.6197,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.12,11268.18810231,5.6416,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.15,11184.75884997,6.9344,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.16,11131.81295437,7.2953,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.17,11095.45948486,8.3604,ESG_주식,JavaScript,2025-10-03 01:08:27
2025.09.18,11069.81862942,7.4394,ESG_주식,JavaScript,2025-10-03 01:08:27
