date,setup_amount,return_rate,tab_type,collection_date,collection_time,collection_period,period_text
2025.07.14,74819.85586799,0.0,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.15,74722.47957638,0.1244,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.16,75197.93107012,0.2669,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.17,75862.1100535,0.1427,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.18,76108.43495539,0.1437,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.21,76324.35060702,0.1797,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.22,76553.08581786,0.3456,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.23,76708.56913376,0.1338,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.24,76705.04267513,0.2234,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.25,76698.56936106,0.2734,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.28,76961.94478208,0.348,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.29,76979.56755738,0.4582,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.30,77950.74080716,0.6117,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.31,78212.5274643,0.6876,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.08.01,78516.67111434,0.6556,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.08.04,78808.93872178,0.0173,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.08.05,79558.24064368,0.1409,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.08.06,79766.10163896,0.5234,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.08.07,80408.11817184,0.5468,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.08.08,81725.28613843,0.681,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.08.11,82069.16538628,0.6473,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.08.12,82352.34374371,0.6309,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.08.13,82866.04814762,0.5366,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.08.14,83243.1483367,0.7475,SRI,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.14,11433.87952958,0.0,ESG_주식,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.15,11410.49325367,0.7393,ESG_주식,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.16,11425.80146804,1.2817,ESG_주식,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.17,11448.33075389,0.7156,ESG_주식,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.18,11470.48492413,0.7738,ESG_주식,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.21,11497.66983295,0.7041,ESG_주식,2025-08-15,2025-08-15 01:17:57,01,1개월
2025.07.22,11507.96045456,1.2908,ESG_주식,2025-08-15,2025-08-15 01:17:57,01,1개월
