rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,KBRISEESG사회책임투자증권상장지수투자신탁(주식),K55223C37088,13.52%,수익률,SRI,2025-09-19,2025-09-19 01:09:35
2,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cw,K55105DE9253,12.76%,수익률,SRI,2025-09-19,2025-09-19 01:09:35
3,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P(퇴직연금),K55105DF1887,12.74%,수익률,SRI,2025-09-19,2025-09-19 01:09:35
4,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P,K55105DF1879,12.74%,수익률,SRI,2025-09-19,2025-09-19 01:09:35
5,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S,K55105DE9261,12.74%,수익률,SRI,2025-09-19,2025-09-19 01:09:35
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"2,699.52",설정액증가,SRI,2025-09-19,2025-09-19 01:09:35
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"1,836.32",설정액증가,SRI,2025-09-19,2025-09-19 01:09:35
3,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,759.14,설정액증가,SRI,2025-09-19,2025-09-19 01:09:35
4,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,725.00,설정액증가,SRI,2025-09-19,2025-09-19 01:09:35
5,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,691.38,설정액증가,SRI,2025-09-19,2025-09-19 01:09:35
1,KBRISEESG사회책임투자증권상장지수투자신탁(주식),K55223C37088,13.52%,수익률,ESG_주식,2025-09-19,2025-09-19 01:09:35
2,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cw,K55105DE9253,12.76%,수익률,ESG_주식,2025-09-19,2025-09-19 01:09:35
3,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P(퇴직연금),K55105DF1887,12.74%,수익률,ESG_주식,2025-09-19,2025-09-19 01:09:35
4,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P,K55105DF1879,12.74%,수익률,ESG_주식,2025-09-19,2025-09-19 01:09:35
5,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S,K55105DE9261,12.74%,수익률,ESG_주식,2025-09-19,2025-09-19 01:09:35
1,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,20.03,설정액증가,ESG_주식,2025-09-19,2025-09-19 01:09:35
2,KBESG성장리더스증권자투자신탁(주식)C,KR5223821814,14.75,설정액증가,ESG_주식,2025-09-19,2025-09-19 01:09:35
3,삼성글로벌배당귀족ESG증권자투자신탁H[주식]_Cw,K55105DR1677,9.76,설정액증가,ESG_주식,2025-09-19,2025-09-19 01:09:35
4,한화그린히어로증권자투자신탁(주식)C-RPe(퇴직연금),K55213DB6004,7.44,설정액증가,ESG_주식,2025-09-19,2025-09-19 01:09:35
5,한화그린히어로증권자투자신탁(주식)C-Pe(연금저축),K55213DB5980,5.32,설정액증가,ESG_주식,2025-09-19,2025-09-19 01:09:35
1,삼성KODEX아시아달러채권ESG플러스액티브증권상장지수투자신탁[채권],K55105DR4770,1.59%,수익률,ESG_채권,2025-09-19,2025-09-19 01:09:35
2,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,1.52%,수익률,ESG_채권,2025-09-19,2025-09-19 01:09:35
3,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P2(퇴직연금),K55232D97347,1.46%,수익률,ESG_채권,2025-09-19,2025-09-19 01:09:35
4,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P,K55232BJ3861,1.46%,수익률,ESG_채권,2025-09-19,2025-09-19 01:09:35
5,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS,K55232BJ3853,1.46%,수익률,ESG_채권,2025-09-19,2025-09-19 01:09:35
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"2,699.52",설정액증가,ESG_채권,2025-09-19,2025-09-19 01:09:35
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"1,836.32",설정액증가,ESG_채권,2025-09-19,2025-09-19 01:09:35
3,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,759.14,설정액증가,ESG_채권,2025-09-19,2025-09-19 01:09:35
4,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,725.00,설정액증가,ESG_채권,2025-09-19,2025-09-19 01:09:35
5,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,691.38,설정액증가,ESG_채권,2025-09-19,2025-09-19 01:09:35
